Id,Predicted
0,2
1,6
2,5
3,9
4,1
5,4
6,6
7,5
8,9
9,2
10,0
11,0
12,1
13,7
14,3
15,8
16,9
17,2
18,8
19,7
20,5
21,1
22,0
23,4
24,2
25,8
26,5
27,6
28,3
29,7
30,5
31,5
32,4
33,6
34,7
35,4
36,1
37,2
38,0
39,4
40,2
41,8
42,5
43,9
44,5
45,3
46,7
47,8
48,6
49,5
50,5
51,9
52,7
53,1
54,3
55,6
56,0
57,2
58,7
59,8
60,0
61,4
62,0
63,3
64,9
65,2
66,4
67,1
68,9
69,8
70,7
71,6
72,2
73,7
74,8
75,8
76,9
77,2
78,5
79,1
80,9
81,0
82,4
83,0
84,8
85,1
86,0
87,3
88,4
89,4
90,8
91,6
92,3
93,8
94,2
95,4
96,0
97,5
98,8
99,9
100,4
101,0
102,5
103,0
104,3
105,2
106,6
107,1
108,7
109,7
110,9
111,0
112,2
113,6
114,2
115,5
116,8
117,0
118,7
119,9
120,9
121,3
122,2
123,4
124,6
125,0
126,5
127,0
128,0
129,1
130,0
131,1
132,2
133,9
134,8
135,8
136,4
137,5
138,0
139,2
140,7
141,6
142,9
143,6
144,0
145,4
146,3
147,3
148,7
149,4
150,4
151,6
152,6
153,6
154,1
155,5
156,5
157,5
158,3
159,9
160,9
161,6
162,9
163,1
164,4
165,3
166,9
167,5
168,6
169,2
170,3
171,2
172,2
173,5
174,7
175,8
176,7
177,4
178,9
179,3
180,4
181,2
182,1
183,1
184,6
185,7
186,5
187,6
188,4
189,8
190,0
191,2
192,1
193,1
194,1
195,1
196,7
197,3
198,1
199,2
200,2
201,0
202,3
203,5
204,8
205,5
206,8
207,7
208,5
209,6
210,9
211,1
212,4
213,4
214,4
215,7
216,8
217,0
218,3
219,2
220,4
221,3
222,4
223,7
224,3
225,7
226,2
227,8
228,8
229,8
230,6
231,2
232,6
233,4
234,9
235,5
236,6
237,3
238,6
239,7
240,1
241,6
242,5
243,8
244,1
245,6
246,9
247,1
248,9
249,9
250,4
251,4
252,1
253,3
254,6
255,4
256,7
257,1
258,3
259,6
260,1
261,3
262,6
263,1
264,3
265,8
266,7
267,6
268,5
269,3
270,5
271,7
272,0
273,4
274,4
275,5
276,0
277,1
278,9
279,0
280,3
281,5
282,0
283,3
284,5
285,7
286,6
287,3
288,3
289,7
290,8
291,5
292,0
293,1
294,1
295,9
296,7
297,6
298,2
299,2
300,6
301,5
302,5
303,6
304,9
305,0
306,7
307,7
308,9
309,1
310,3
311,9
312,9
313,1
314,0
315,1
316,8
317,9
318,2
319,1
320,3
321,5
322,6
323,5
324,9
325,8
326,8
327,3
328,7
329,2
330,8
331,2
332,9
333,1
334,2
335,4
336,5
337,2
338,8
339,3
340,3
341,7
342,5
343,3
344,0
345,3
346,5
347,2
348,7
349,1
350,3
351,8
352,8
353,8
354,8
355,3
356,6
357,7
358,4
359,8
360,4
361,1
362,0
363,6
364,9
365,8
366,8
367,4
368,1
369,3
370,7
371,5
372,0
373,2
374,7
375,9
376,4
377,0
378,9
379,4
380,2
381,4
382,6
383,6
384,7
385,6
386,3
387,9
388,2
389,9
390,9
391,6
392,5
393,1
394,4
395,3
396,4
397,9
398,6
399,4
400,4
401,3
402,2
403,2
404,8
405,3
406,4
407,8
408,0
409,0
410,3
411,8
412,5
413,7
414,9
415,2
416,9
417,9
418,4
419,8
420,2
421,2
422,1
423,1
424,3
425,0
426,1
427,7
428,4
429,3
430,8
431,6
432,0
433,4
434,7
435,9
436,8
437,3
438,3
439,8
440,9
441,9
442,9
443,9
444,1
445,7
446,6
447,5
448,8
449,1
450,1
451,7
452,0
453,3
454,6
455,7
456,7
457,5
458,2
459,6
460,6
461,3
462,2
463,6
464,1
465,4
466,8
467,6
468,8
469,2
470,0
471,2
472,7
473,1
474,5
475,3
476,0
477,6
478,5
479,0
480,7
481,2
482,8
483,2
484,7
485,8
486,4
487,1
488,5
489,5
490,0
491,8
492,4
493,9
494,3
495,9
496,0
497,3
498,1
499,7
